name,date,location,type,region
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Corteo,Now through 1/20/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
Corteo,Now through 1/20/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
Bewitcher,1/20/2024,Funhouse,Music,Capitol Hill / Central District
Bewitcher,1/20/2024,Funhouse,Music,Capitol Hill / Central District
burn burn burn,1/20/2024,Slim's Last Chance,Music,South Seattle
burn burn burn,1/20/2024,Slim's Last Chance,Music,South Seattle
Carly Ann Calbero,1/20/2024,The Royal Room,Music,South Seattle
Carly Ann Calbero,1/20/2024,The Royal Room,Music,South Seattle
El Primer Instinto,1/20/2024,El Corazon,Music,Downtown
El Primer Instinto,1/20/2024,El Corazon,Music,Downtown
Gary Janetti,1/20/2024,The Neptune Theatre,Theatre,University District
Gary Janetti,1/20/2024,The Neptune Theatre,Theatre,University District
Jammah,1/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
Jammah,1/20/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
Saturday Family Concert: The Harmonica Pocket,1/20/2024,Town Hall Seattle,Music,Downtown
Saturday Family Concert: The Harmonica Pocket,1/20/2024,Town Hall Seattle,Music,Downtown
Seattle Thunderbirds vs. Tri-City Americans,1/20/2024,accesso ShoWare Center,Sports,South
Seattle Thunderbirds vs. Tri-City Americans,1/20/2024,accesso ShoWare Center,Sports,South
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
"Hokusai: Inspiration and Influence, from The Collection of The Museum of Fine Arts, Boston",Now through 1/21/2024,Seattle Art Museum,Museums,Downtown
"Hokusai: Inspiration and Influence, from The Collection of The Museum of Fine Arts, Boston",Now through 1/21/2024,Seattle Art Museum,Museums,Downtown
An Evening with Chris Botti,Now through 1/21/2024,Dimitriou's Jazz Alley,Music,Downtown
An Evening with Chris Botti,Now through 1/21/2024,Dimitriou's Jazz Alley,Music,Downtown
Bluey’s Big Play,1/20/2024 through 1/21/2024,The Paramount Theatre,Theatre,Downtown
Bluey’s Big Play,1/20/2024 through 1/21/2024,The Paramount Theatre,Theatre,Downtown
Mike Birbiglia: Please Stop the Ride,1/20/2024 through 1/21/2024,The Moore Theatre,Theatre,Downtown
Mike Birbiglia: Please Stop the Ride,1/20/2024 through 1/21/2024,The Moore Theatre,Theatre,Downtown
Austin Plaine,1/21/2024,Funhouse,Music,Capitol Hill / Central District
Austin Plaine,1/21/2024,Funhouse,Music,Capitol Hill / Central District
Seattle Kraken vs. Toronto Maple Leafs,1/21/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Toronto Maple Leafs,1/21/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Kate Alice Marshall,1/22/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
Kate Alice Marshall,1/22/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
Machine Head,1/22/2024,The Showbox,Music,Downtown
Machine Head,1/22/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Silent Movie Mondays – Safety Last,1/22/2024,The Paramount Theatre,Film & Media Arts,Downtown
Silent Movie Mondays – Safety Last,1/22/2024,The Paramount Theatre,Film & Media Arts,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024,Benaroya Hall,Readings & Lectures,Downtown
Life on Thin Ice | National Geographic Live,1/22/2024 through 1/23/2024,Benaroya Hall,Readings & Lectures,Downtown
Buck Meek,1/23/2024,The Crocodile,Music,Downtown
Buck Meek,1/23/2024,The Crocodile,Music,Downtown
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024,Washington Park Arboretum,Tours & Attractions,University District
Curator Tour: Joseph A. Witt Winter Garden,1/23/2024,Washington Park Arboretum,Tours & Attractions,University District
Synthwave DJ Dance Party,1/23/2024,High Dive,Music,Fremont / Ballard
Synthwave DJ Dance Party,1/23/2024,High Dive,Music,Fremont / Ballard
Wiley from Atlanta,1/23/2024,Funhouse,Music,Capitol Hill / Central District
Wiley from Atlanta,1/23/2024,Funhouse,Music,Capitol Hill / Central District
Winter Reverb,1/23/2024,Chop Suey,Music,Capitol Hill / Central District
Winter Reverb,1/23/2024,Chop Suey,Music,Capitol Hill / Central District
Tribute to John Williams,Now through 1/24/2024,Benaroya Hall,Music,Downtown
Tribute to John Williams,Now through 1/24/2024,Benaroya Hall,Music,Downtown
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024,Dimitriou's Jazz Alley,Music,Downtown
Lakecia Benjamin and Phoenix,1/23/2024 through 1/24/2024,Dimitriou's Jazz Alley,Music,Downtown
Corey Harper,1/24/2024,Barboza,Music,Capitol Hill / Central District
Corey Harper,1/24/2024,Barboza,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
DJ Shadow,1/24/2024,The Neptune Theatre,Music,University District
DJ Shadow,1/24/2024,The Neptune Theatre,Music,University District
Opera on Tap,1/24/2024,The Royal Room,Music,South Seattle
Opera on Tap,1/24/2024,The Royal Room,Music,South Seattle
PBS – Peter Band Supreme,1/24/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
PBS – Peter Band Supreme,1/24/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
Seattle Kraken vs. Chicago Blackhawks,1/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. Chicago Blackhawks,1/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Silent Planet,1/24/2024,El Corazon,Music,Downtown
Silent Planet,1/24/2024,El Corazon,Music,Downtown
Stuff You Should Know,1/24/2024,The Paramount Theatre,Theatre,Downtown
Stuff You Should Know,1/24/2024,The Paramount Theatre,Theatre,Downtown
The Cooking Gene,1/24/2024,Town Hall Seattle,Readings & Lectures,Downtown
The Cooking Gene,1/24/2024,Town Hall Seattle,Readings & Lectures,Downtown
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District
Aryana Leon,1/25/2024,Barboza,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard
Colorworks,1/25/2024,Nectar Lounge,Music,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District
Dar Williams,1/25/2024,The Neptune Theatre,Music,University District
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown
Deb Perelman,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District
Emanuel Brown,1/25/2024,Chop Suey,Music,Capitol Hill / Central District
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown
James Miles,1/25/2024,Town Hall Seattle,Readings & Lectures,Downtown
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
Madeline Pendleton,1/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District
October London,1/25/2024,The Showbox,Music,Downtown
October London,1/25/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South
Tacoma Stars vs. Empire Strykers,1/25/2024,accesso ShoWare Center,Sports,South
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown
Dungeons and Drag Queens,1/26/2024,The Crocodile,Theatre,Downtown
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown
Global Rhythms: Yungchen Lhamo,1/26/2024,Town Hall Seattle,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South
Harlem Globetrotters 2024 World Tour –,1/26/2024,accesso ShoWare Center,Sports,South
Not Available,Not Available,Not Available,Not Available,Not Available
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Seattle Kraken vs. St. Louis Blues,1/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District
Shelf Nunny,1/26/2024,Barboza,Music,Capitol Hill / Central District
Not Available,Not Available,Not Available,Not Available,Not Available
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown
Super Diamond – The Neil Diamond Tribute Band,1/26/2024,The Showbox,Music,Downtown
Not Available,Not Available,Not Available,Not Available,Not Available
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle
The Disorderlies,1/26/2024,Slim's Last Chance,Music,South Seattle
Compania Nacional de Danza,1/25/2024 through 1/27/2024,Meany Center for the Performing Arts,Dance,University District
Compania Nacional de Danza,1/25/2024 through 1/27/2024,Meany Center for the Performing Arts,Dance,University District
Metropolis,1/25/2024 through 1/27/2024,Benaroya Hall,Music,Downtown
Metropolis,1/25/2024 through 1/27/2024,Benaroya Hall,Music,Downtown
Andy Coe Band,1/26/2024 through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard
Andy Coe Band,1/26/2024 through 1/27/2024,Nectar Lounge,Music,Fremont / Ballard
Not Available,Not Available,Not Available,Not Available,Not Available
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Harlem Globetrotters,1/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
Not Available,Not Available,Not Available,Not Available,Not Available
